level1,p_active (Mo-Su),p_active (Mo-Fr)
C,0.44501883581115836,0.5888775786503153
F,0.4677144940751213,0.6326560882862555
G,0.4619722320267608,0.5864151509188281
H (49-52),0.5024799864154751,0.6264484410154066
N,0.4525061578855213,0.6053658084115371
Other,0.4706163777060215,0.6112441112138777
Private,0.3920408519710273,0.48448182277744695
